peak No.,Anotation,start m/z,end m/z,RT(min,RT(sec,RI,BY00,BY01,BY02,BY03,BY04,BY05,BY06,BY07,BY08,BY09,BY10,Xaa00,Xaa01,Xaa02,Xaa03,Xaa04,Xaa05,Xaa06,Xaa07,Xaa08,Xaa09,Xaa10,Xwo00,Xwo01,Xwo02,Xwo03,Xwo04,Xwo05,Xwo06,Xwo07,Xwo08,Xwo09,Xwo10
Peak-25,Pyroglutamic acid::C01879,156,160,9.48,568.8,1519.7,0.71831976,0.772417866,0.804782156,0.824409194,0.837555271,0.825203118,0.795944566,0.701077612,0.517447869,0.301374932,0.135825626,0.75849581,0.811886451,0.823354427,0.840379941,0.837132466,0.823989645,0.784289106,0.677459991,0.487573683,0.29815641,0.073725869,0.733112004,0.757955646,0.809197923,0.827064501,0.83133771,0.800468156,0.748227531,0.64773944,0.506121157,0.349063532,0.054493873
Peak-26,4-Aminobutyric acid::C00334,174,178,9.53,571.8,1525.9,0.74863253,0.805006249,0.83819847,0.833600071,0.843406593,0.812372209,0.751309622,0.666407968,0.491396426,0.235887208,0.073303402,0.794089552,0.808077491,0.822327166,0.835494748,0.843997432,0.792809609,0.781004902,0.685994048,0.454862079,0.280302528,0.036723164,0.648883375,0.797362496,0.825243669,0.832427307,0.823340158,0.790505781,0.690728517,0.615123124,0.475775606,0.301588393,0.022962493
Peak-27,,155,159,9.57,574.2,1530.8,0.719597499,0.731148791,0.769517029,0.796935828,0.818054441,0.808217255,0.797483874,0.747682101,0.62036558,0.415886635,0.27476009,0.683908538,0.741897648,0.766385072,0.791154218,0.828960079,0.812258898,0.805945864,0.732735611,0.579656723,0.389085095,0.163744046,0.815679352,0.83433603,0.840051434,0.837776981,0.845779433,0.840699559,0.817637016,0.748877108,0.606344916,0.438340217,0.090223022
Peak-28,,227,231,9.61,576.6,1535.8,0.839739414,0.596763318,0.688093499,0.608350951,0.591059603,0.627854904,0.667637069,0.679269883,0.733880422,0.413868295,0.206549118,0.66536094,0.672332943,0.72746222,0.647492625,0.603671706,0.555679287,0.750396197,0.633622659,0.481839387,0.307440337,0.209311274,0.678106509,0.765060241,0.736723164,0.738357324,0.809806835,0.750159744,0.655877725,0.718324079,0.545204403,0.455095863,0.093243656
Peak-29,,247,251,9.82,589.2,1561.3,0.704868914,0.722591362,0.558667676,0.709265176,0.631192661,0.675516224,0.689942678,0.70464135,0.493142857,0.339201878,0.139913027,0.73552759,0.701036269,0.764,0.556610665,0.78137931,0.643419573,0.819680851,0.636579572,0.44307983,0.338391502,0.118872291,0.696885813,0.696400626,0.712686567,0.777777778,0.727272727,0.741242938,0.619654489,0.555748696,0.44186806,0.322070845,0.13059171
Peak-30,,275,281,9.85,591,1564.8,0.703190297,0.720565149,0.715618178,0.678764191,0.72852377,0.580759728,0.493833877,0.244825547,0.139680062,0.025295746,0.01824353,0.674094708,0.627785059,0.474327628,0.464362851,0.408580184,0.551155116,0.212978369,0.197199533,0.032565528,0.110624315,0.086666667,0.677345538,0.508221226,0.524967434,0.499315537,0.258224425,0.089392133,0.100046751,0.01695692,0.027920962,0.082857143,0.04804759
Peak-31,,227,231,10.01,600.6,1583.9,0.628323557,0.668812655,0.679390067,0.6996337,0.706840481,0.716762231,0.689794484,0.659144838,0.525125085,0.339928946,0.201403621,0.622446429,0.6763968,0.693000751,0.702288488,0.717989717,0.706827731,0.702100115,0.633692161,0.501964791,0.32298388,0.105105693,0.724640583,0.725483224,0.729673261,0.727519421,0.729280254,0.733996616,0.692700149,0.644363969,0.540872748,0.363517578,0.064126328
Peak-32,,142,146,10.15,609,1600.3,0.742019733,0.750015327,0.733036797,0.728678673,0.742461623,0.75483404,0.748885163,0.75577371,0.721245949,0.633374498,0.443901665,0.691120574,0.726189316,0.732471345,0.7591431,0.80258627,0.740466975,0.767259181,0.755849266,0.71335071,0.647605343,0.376066894,0.727489601,0.725453633,0.785619371,0.740714328,0.756779331,0.730386455,0.758213511,0.767511543,0.722291126,0.650693731,0.291459737
Peak-33,Glutamic acid::C00302+0,246,250,10.2,612,1606.9,0.727680377,0.741377451,0.746342529,0.748595396,0.747068924,0.732242395,0.697389606,0.608320338,0.433162422,0.244133523,0.082448258,0.7254974,0.737282509,0.743029332,0.749421013,0.747768073,0.726673259,0.690922233,0.58648672,0.41791645,0.251817862,0.031402537,0.66813312,0.735344741,0.748006921,0.744096485,0.744602349,0.709859641,0.65038524,0.546024504,0.434510608,0.284168948,0.018256729
Peak-34,Phenylalanine::C00079+0,192,200,10.33,619.8,1624.1,0.754160963,0.703466549,0.71277514,0.519219036,0.473251029,0.243165925,0.189452868,0.132997422,0.099485804,0.086515588,0.089005236,0.792705102,0.675569639,0.648191561,0.643812709,0.434638238,0.256673826,0.144001781,0.13150448,0.110482588,0.084296904,0.031657826,0.672178289,0.644866385,0.617251321,0.703642838,0.585488959,0.222524483,0.196220252,0.118606702,0.077554745,0.113571935,0.040153737
